date,shift_type,tip_value
2024-03-07,כפולה,460
2024-03-08,כפולה,720
2024-03-09,כפולה,560
2024-03-10,בוקר,200
2024-03-11,ערב,300
2024-03-12,כפולה,660
2024-03-14,ערב,335
2024-03-15,ערב,245
2024-03-17,ערב,350
2024-03-18,ערב,390
2024-03-19,כפולה,820
2024-03-20,כפולה,840
2024-03-21,כפולה,530
2024-03-22,בוקר,205
2024-03-23,כפולה,720
2024-03-24,כפולה,550
2024-03-25,בוקר,315
2024-03-26,ערב,620
2024-03-29,ערב,470
2024-03-30,כפולה,600
2024-03-31,בוקר,200
2024-04-01,כפולה,640
2024-04-02,כפולה,705
2024-04-03,כפולה,720
2024-04-05,בוקר,200
2024-04-06,ערב,270
2024-04-07,ערב,280
2024-04-08,ערב,310
2024-04-09,ערב,490
2024-04-10,כפולה,900
